,symbol,product,min_deposit,min_unit,commission,exchange
0,V0,PVC,0.07,5,2,DCE
1,P0,棕榈,0.07,10,2.5,DCE
2,B0,豆二,0.05,10,2,DCE
3,M0,豆粕,0.07,10,1.5,DCE
4,I0,铁矿石,0.1,100,8,DCE
5,JD0,鸡蛋,0.08,5,6,DCE
6,L0,塑料,0.07,5,2,DCE
7,PP0,PP,0.07,5,4,DCE
8,FB0,纤维板,0.2,500,10,DCE
9,BB0,胶合板,0.2,500,10,DCE
10,Y0,豆油,0.07,10,2.5,DCE
11,C0,玉米,0.07,10,1.2,DCE
12,A0,豆一,0.07,10,2,DCE
13,J0,焦炭,0.15,100,8,DCE
14,JM0,焦煤,0.15,60,8,DCE
15,CS0,玉米淀粉,0.07,10,1.5,DCE
16,TA0,PTA,0.06,5,3,ZZCE
17,OI0,菜油,0.07,5,2.5,ZZCE
18,RS0,菜籽,0.2,10,2,ZZCE
19,RM0,菜粕,0.06,10,3,ZZCE
20,ZC0,动力煤,0.08,200,6,ZZCE
21,WH0,强麦,0.05,10,2.5,ZZCE
22,JR0,粳稻,0.05,20,3,ZZCE
23,SR0,白糖,0.05,10,3,ZZCE
24,CF0,棉花,0.07,5,6,ZZCE
25,RI0,早籼稻,0.05,10,2.5,ZZCE
26,MA0,郑醇,0.07,10,2,ZZCE
27,FG0,玻璃,0.07,20,3,ZZCE
28,LR0,晚籼稻,0.05,20,3,ZZCE
29,SF0,硅铁,0.07,5,3,ZZCE
30,SM0,锰硅,0.07,5,3,ZZCE
31,FU0,燃油,0.2,50,10,SHFE
32,AL0,沪铝,0.09,5,3,SHFE
33,RU0,橡胶,0.12,10,10,SHFE
34,ZN0,沪锌,0.09,5,3,SHFE
35,CU0,沪铜,0.09,5,8,SHFE
36,AU0,黄金,0.06,1000,10,SHFE
37,RB0,螺纹钢,0.11,10,10,SHFE
38,WR0,线材,0.2,10,8,SHFE
39,PB0,沪铅,0.09,25,8,SHFE
40,AG0,白银,0.08,15,10,SHFE
41,BU0,沥青,0.09,10,10,SHFE
42,HC0,热轧卷板,0.09,10,10,SHFE
43,SN0,沪锡,0.09,1,3,SHFE
44,NI0,沪镍,0.1,1,6,SHFE
